Title;Year;Genres;Language;Country;Content Rating;Duration;Aspect Ratio;Budget;Gross Earnings;Director;Actor 1;Actor 2;Actor 3;Facebook Likes - Director;Facebook Likes - Actor 1;Facebook Likes - Actor 2;Facebook Likes - Actor 3;Facebook Likes - cast Total;Facebook likes - Movie;Facenumber in posters;User Votes;Reviews by Users;Reviews by Crtiics;IMDB Score;
Down in the Valley ;2005;Drama|Romance|Thriller;English;USA;R;108;2,35;8000000;568695;David Jacobson;Hunter Parrish;Bruce Dern;Rory Culkin;12;2000;844;710;3921;412;2;16617;110;74;6,5;
Dreamer: Inspired by a True Story ;2005;Drama|Family|Sport;English;USA;PG;98;2,35;32000000;32701088;John Gatins;Ken Howard;Freddy Rodríguez;Holmes Osborne;61;649;579;83;1400;0;1;10018;108;75;6,9;
Duma ;2005;Adventure|Drama|Family;English;USA;PG;100;1,85;12000000;860002;Carroll Ballard;Eamonn Walker;Hope Davis;Campbell Scott;19;706;442;393;1579;0;0;6454;43;38;7,3;
Dungeons & Dragons: Wrath of the Dragon God ;2005;Action|Adventure|Fantasy;English;Germany;Not Rated;105;1,78;15000000;;Gerry Lively;Bruce Payne;Lucy Gaskell;Steven Elder;93;179;55;51;363;473;0;5018;108;26;4,9;
Edmond ;2005;Drama|Thriller;English;USA;R;82;1,85;10000000;131617;Stuart Gordon;Joe Mantegna;Dulé Hill;Jeffrey Combs;216;1000;922;885;5761;661;1;9971;119;79;6,3;
Elektra ;2005;Action|Crime|Fantasy|Thriller;English;Canada;PG-13;100;2,35;43000000;24407944;Rob Bowman;Jennifer Garner;Cary-Hiroyuki Tagawa;Goran Visnjic;38;3000;1000;1000;7048;0;0;71202;380;196;4,8;
Elizabethtown ;2005;Comedy|Drama|Romance;English;USA;PG-13;123;1,85;57000000;26838389;Cameron Crowe;Orlando Bloom;Kirsten Dunst;Judy Greer;488;5000;4000;2000;12700;0;0;58658;495;190;6,4;
End of the Spear ;2005;Adventure|Drama;English;USA;PG-13;108;2,35;10000000;11703287;Jim Hanon;Chase Ellison;Chad Allen;Jack Guzman;2;772;232;30;1058;1000;3;4360;148;47;7;
Fateless ;2005;Drama|Romance|War;Hungarian;Hungary;R;134;2,35;2500000000;195888;Lajos Koltai;Marcell Nagy;Péter Fancsikai;Bálint Péntek;45;9;2;0;11;607;0;5603;45;73;7,1;
Feast ;2005;Action|Comedy|Horror|Thriller;English;USA;R;95;2,35;3200000;;John Gulager;Krista Allen;Eric Dane;Henry Rollins;38;164000;2000;898;170118;0;0;25542;252;130;6,4;
Fetching Cody ;2005;Drama|Fantasy|Romance;English;Canada;;87;;1500000;;David Ray;Nicole Muñoz;Sarah Lind;Kyla Wise;0;199;134;108;596;193;2;1232;10;16;6,8;
Fever Pitch ;2005;Comedy|Drama|Romance|Sport;English;USA;PG-13;104;2,35;30000000;42071069;Bobby Farrelly;Jimmy Fallon;KaDee Strickland;Ione Skye;101;787;299;223;1827;0;1;36223;208;124;6,2;
Flightplan ;2005;Drama|Mystery|Thriller;English;USA;PG-13;98;2,35;55000000;89706988;Robert Schwentke;Erika Christensen;Michael Irby;Haley Ramm;124;931;507;354;2287;0;1;126746;600;231;6,2;
Forty Shades of Blue ;2005;Drama|Music|Romance;English;USA;R;108;1,85;1500000;;Ira Sachs;Rip Torn;Jenny O'Hara;Darren E. Burrows;60;826;189;121;1240;216;0;1134;26;39;6;
Four Brothers ;2005;Action|Crime|Drama|Mystery|Thriller;English;USA;R;109;2,35;45000000;74484168;John Singleton;Josh Charles;Tony Nappo;Fionnula Flanagan;309;1000;654;482;2740;0;3;109894;340;123;6,9;
Fun with Dick and Jane ;2005;Comedy|Crime;English;USA;PG-13;90;2,35;100000000;110332737;Dean Parisot;John Michael Higgins;Richard Burgi;David Herman;23;957;550;233;1997;2000;1;110788;258;135;6,1;
Get Rich or Die Tryin' ;2005;Biography|Crime|Drama|Music;English;USA;R;117;2,35;40000000;30981850;Jim Sheridan;50 Cent;Bill Duke;Marc John Jefferies;260;1000;1000;441;3969;0;0;35834;284;98;5;
Goal! The Dream Begins ;2005;Drama|Romance|Sport;English;USA;PG-13;118;2,35;10000000;4280577;Danny Cannon;Sean Pertwee;Kuno Becker;Stephen Dillane;41;722;580;577;2859;0;0;50919;114;90;6,8;
Good Night, and Good Luck. ;2005;Biography|Drama|History;English;USA;PG;93;1,85;7500000;31501218;George Clooney;Robert Downey Jr.;Tate Donovan;Alex Borstein;0;21000;650;566;22745;0;0;84070;526;351;7,5;
Guess Who ;2005;Comedy|Romance;English;USA;PG-13;105;1,85;35000000;67962333;Kevin Rodney Sullivan;Bernie Mac;Nicole Sullivan;Sherri Shepherd;8;1000;358;278;2689;919;2;33887;160;104;5,9;
Hard Candy ;2005;Crime|Drama|Thriller;English;USA;R;104;2,35;950000;1007962;David Slade;Odessa Rae;G.J. Echternkamp;Patrick Wilson;171;109;8;0;117;12000;0;131969;651;231;7,1;
Harry Potter and the Goblet of Fire ;2005;Adventure|Family|Fantasy|Mystery;English;UK;PG-13;157;2,35;150000000;289994397;Mike Newell;Robert Pattinson;Daniel Radcliffe;Rupert Grint;179;21000;11000;10000;53413;0;1;385670;1896;295;7,6;
Harsh Times ;2005;Action|Crime|Drama|Thriller;English;USA;R;116;1,85;2000000;3335839;David Ayer;J.K. Simmons;Christian Bale;Noel Gugliemi;453;24000;23000;2000;50313;0;2;54657;222;118;7;
Herbie Fully Loaded ;2005;Adventure|Comedy|Family|Fantasy|Romance|Sport;English;USA;G;101;1,85;50000000;66002004;Angela Robinson;Scoot McNairy;Thomas Lennon;Cheryl Hines;23;660;651;541;2177;1000;1;36431;168;117;4,7;
Hide and Seek ;2005;Drama|Horror|Mystery|Thriller;English;USA;R;101;2,35;30000000;51097664;John Polson;Robert De Niro;Dylan Baker;Robert John Burke;21;22000;812;317;23328;0;0;70205;450;180;5,9;
Hitch ;2005;Comedy|Romance;English;USA;PG-13;118;2,35;70000000;177575142;Andy Tennant;Will Smith;Michael Rapaport;Kevin Sussman;72;10000;975;681;13426;0;1;244840;372;171;6,6;
Hoodwinked! ;2005;Action|Animation|Comedy|Crime|Family;English;USA;PG;80;1,85;17500000;51053787;Cory Edwards;Anne Hathaway;Chazz Palminteri;Jim Belushi;19;11000;979;854;14385;0;1;45900;247;142;6,5;
Hostage ;2005;Action|Crime|Drama|Mystery|Thriller;English;USA;R;113;2,35;52000000;34636443;Florent-Emilio Siri;Jimmy Bennett;Bruce Willis;Ransford Doherty;17;87000;13000;759;103354;0;0;93790;288;152;6,6;
Hostel ;2005;Horror;English;USA;R;93;2,35;4800000;47277326;Eli Roth;Jay Hernandez;Takashi Miike;Rick Hoffman;0;1000;1000;581;2990;0;0;138814;1516;303;5,9;
House of Sand ;2005;Drama;Portuguese;Brazil;R;115;2,35;8000000;;Andrucha Waddington;Fernanda Montenegro;Seu Jorge;Fernanda Torres;6;119;69;24;222;385;1;2650;35;42;7,5;
House of Wax ;2005;Horror;English;Australia;R;108;1,85;30000000;32048809;Jaume Collet-Serra;Robert Ri'chard;Paris Hilton;Brian Van Holt;174;730;716;324;2178;0;0;94456;576;228;5,3;
House of Wax ;2005;Horror;English;Australia;R;108;1,85;30000000;32048809;Jaume Collet-Serra;Robert Ri'chard;Paris Hilton;Brian Van Holt;174;730;716;324;2160;0;0;94463;576;228;5,3;
Hustle & Flow ;2005;Crime|Drama|Music;English;USA;R;116;1,85;8000000;22201636;Craig Brewer;Isaac Hayes;Paula Jai Parker;Elise Neal;153;275;247;165;727;0;1;33567;206;159;7,4;
Ice Princess ;2005;Comedy|Drama|Family|Sport;English;USA;G;98;1,85;;24381334;Tim Fywell;Connie Ray;Trevor Blumas;Amy Stewart;3;90;89;28;235;901;2;19737;81;67;6;
Imagine Me & You ;2005;Comedy|Drama|Romance;English;UK;R;90;2,35;7900000;671240;Ol Parker;Celia Imrie;Ben Miles;Darren Boyd;21;186;119;112;619;0;0;23023;149;85;6,9;
Inside Deep Throat ;2005;Biography|Documentary|History;English;USA;NC-17;89;1,85;2000000;653621;Fenton Bailey;Hugh M. Hefner;Bill Maher;Linda Lovelace;13;373;334;218;1136;592;0;5615;64;123;6,8;
Insomnia Manica ;2005;Thriller;English;USA;;127;1,33;500000;;Daston Kalili;Daston Kalili;Rai Alexandra;Chin-Chien Chang;2;2;0;0;2;0;0;16;3;;5,8;
Into the Blue ;2005;Action|Adventure|Crime|Thriller;English;USA;PG-13;110;2,35;50000000;18472363;John Stockwell;Paul Walker;James Frain;Ashley Scott;134;23000;1000;795;25049;0;3;63599;208;120;5,8;
Jarhead ;2005;Action|Drama|War;English;Germany;R;125;2,35;70000000;62647540;Sam Mendes;Jake Gyllenhaal;Brian Geraghty;James Morrison;0;15000;383;210;15850;0;0;143525;657;262;7,1;
Joyeux Noel ;2005;Drama|History|Music|Romance|War;French;France;PG-13;116;2,35;22000000;1050445;Christian Carion;Gary Lewis;Dany Boon;Ian Richardson;13;203;172;140;773;11000;0;21394;147;115;7,8;
Just Like Heaven ;2005;Comedy|Fantasy|Romance;English;USA;PG-13;95;1,85;58000000;48291624;Mark Waters;Jon Heder;Ivana Milicevic;Willie Garson;70;970;834;512;2876;0;1;82819;263;142;6,7;
Kicking & Screaming ;2005;Comedy|Family|Romance|Sport;English;USA;PG;95;2,35;45000000;52580895;Jesse Dylan;Josh Hutcherson;Will Ferrell;Robert Duvall;58;14000;8000;3000;27351;743;1;30255;118;94;5,6;
King Kong ;2005;Action|Adventure|Drama|Romance;English;New Zealand;PG-13;201;2,35;207000000;218051260;Peter Jackson;Naomi Watts;Thomas Kretschmann;Evan Parke;0;6000;919;84;7123;0;0;316018;2618;446;7,2;
King Kong ;2005;Action|Adventure|Drama|Romance;English;New Zealand;PG-13;201;2,35;207000000;218051260;Peter Jackson;Naomi Watts;Thomas Kretschmann;Evan Parke;0;6000;918;84;7122;0;0;316020;2618;446;7,2;
King Kong ;2005;Action|Adventure|Drama|Romance;English;New Zealand;PG-13;201;2,35;207000000;218051260;Peter Jackson;Naomi Watts;Thomas Kretschmann;Evan Parke;0;6000;918;84;7122;0;0;316027;2618;446;7,2;
Kingdom of Heaven ;2005;Action|Adventure|Drama|History|War;English;USA;R;194;2,35;130000000;47396698;Ridley Scott;Liam Neeson;Orlando Bloom;Philip Glenister;0;14000;5000;195;19600;0;1;217373;942;239;7,2;
King's Ransom ;2005;Comedy|Crime;English;USA;PG-13;95;1,85;15000000;4006906;Jeffrey W. Byrd;Donald Faison;Loretta Devine;Regina Hall;2;927;912;807;4990;83;7;3229;20;23;4,1;
Kiss Kiss Bang Bang ;2005;Comedy|Crime|Mystery;English;USA;R;103;2,35;15000000;4235837;Shane Black;Robert Downey Jr.;Corbin Bernsen;Larry Miller;1000;21000;1000;611;23932;0;2;175962;336;223;7,6;
Lady Vengeance ;2005;Crime|Drama;Korean;South Korea;R;112;2,35;4200000000;211667;Chan-wook Park;Min-sik Choi;Yeong-ae Lee;Hye-jeong Kang;0;717;126;38;907;4000;0;53508;131;202;7,7;
Land of the Dead ;2005;Horror;English;Canada;R;97;2,35;15000000;20433940;George A. Romero;Tony Nappo;Shawn Roberts;Pedro Miguel Arce;0;654;529;233;1876;0;8;78883;662;252;6,2;
London ;2005;Drama|Romance;English;UK;R;92;2,35;14000;12667;Hunter Richards;Jason Statham;Chris Evans;Dane Cook;11;26000;11000;1000;39518;0;2;19336;90;34;6,6;
Lonesome Jim ;2005;Comedy|Drama;English;USA;R;91;1,85;500000;154077;Steve Buscemi;Kevin Corrigan;Seymour Cassel;Mary Kay Place;12000;778;327;213;1440;238;0;6884;53;81;6,6;
Lord of War ;2005;Crime|Drama|Thriller;English;USA;R;122;2,35;50000000;24127895;Andrew Niccol;Nicolas Cage;Jeremy Crutchley;Jared Burke;487;12000;43;16;12076;10000;2;248123;437;168;7,6;
Lords of Dogtown ;2005;Biography|Drama|Sport;English;USA;PG-13;107;1,85;25000000;11008432;Catherine Hardwicke;Heath Ledger;Michael Angarano;Rebecca De Mornay;308;13000;947;872;16651;5000;0;43903;194;119;7,1;
Mad Hot Ballroom ;2005;Documentary|Family|Music;English;USA;PG;105;1,85;;8044906;Marilyn Agrelo;Heather Berman;Eva Carrozza;Paul Daggett;2;0;0;0;0;588;2;3156;65;84;7,5;
Madagascar ;2005;Adventure|Animation|Comedy|Family;English;USA;PG;86;1,85;75000000;193136719;Eric Darnell;Jada Pinkett Smith;Cedric the Entertainer;Andy Richter;35;851;436;179;1777;0;0;266636;385;181;6,9;
Man of the House ;2005;Action|Comedy;English;USA;PG-13;100;2,35;40000000;19118247;Stephen Herek;Christina Milian;Vanessa Ferlito;Kelli Garner;65;1000;923;730;6171;779;5;19829;94;59;5,4;
Manderlay ;2005;Drama;English;Denmark;Not Rated;139;2,35;14200000;74205;Lars von Trier;Bryce Dallas Howard;Jeremy Davies;Jean-Marc Barr;3000;3000;769;236;4211;1000;1;18646;81;140;7,4;
March of the Penguins ;2005;Documentary;French;France;G;80;1,85;8000000;77413017;Luc Jacquet;Morgan Freeman;Sofie Gråbøl;Romane Bohringer;10;11000;108;34;11218;0;0;45984;331;169;7,6;
Match Point ;2005;Drama|Romance|Thriller;English;UK;R;119;1,85;15000000;23089926;Woody Allen;Scarlett Johansson;Mark Gatiss;Penelope Wilton;11000;19000;567;400;20391;0;3;166269;735;278;7,7;
Me and You and Everyone We Know ;2005;Comedy|Drama;English;USA;R;91;1,85;2000000;3885134;Miranda July;Najarra Townsend;Brad William Henke;Miranda July;244;538;363;244;1349;0;0;31130;243;151;7,4;
Memoirs of a Geisha ;2005;Drama|Romance;English;USA;PG-13;145;2,35;85000000;57010853;Rob Marshall;Li Gong;Mako;Karl Yune;252;879;691;210;2380;0;1;119286;548;229;7,3;
Mirrormask ;2005;Adventure|Fantasy;English;UK;PG;101;1,85;4000000;864959;Dave McKean;Stephanie Leonidas;Gina McKee;Rob Brydon;21;420;291;161;1215;0;0;20275;151;116;6,9;
Miss Congeniality 2: Armed and Fabulous ;2005;Action|Comedy|Crime;English;USA;PG-13;115;2,35;45000000;48472213;John Pasquin;Eileen Brennan;Diedrich Bader;Treat Williams;11;1000;759;642;4305;621;2;51252;156;111;5;
Monster-in-Law ;2005;Comedy|Romance;English;Germany;PG-13;101;2,35;60000000;82931301;Robert Luketic;Adam Scott;Jane Fonda;Elaine Stritch;126;3000;949;586;6292;0;0;43358;228;132;5,5;
Mr. & Mrs. Smith ;2005;Action|Comedy|Crime|Romance|Thriller;English;USA;PG-13;126;2,35;120000000;186336103;Doug Liman;Brad Pitt;Angelina Jolie Pitt;Stephanie March;218;11000;11000;322;22722;0;2;348861;798;233;6,5;
Mrs Henderson Presents ;2005;Comedy|Drama|Music|War;English;UK;R;103;1,85;20000000;11034436;Stephen Frears;Bob Hoskins;Christopher Guest;Sarah Solemani;350;5000;378;99;5637;0;1;13505;180;137;7,1;
Munich ;2005;Drama|History|Thriller;English;France;R;163;2,35;70000000;47379090;Steven Spielberg;Ayelet Zurer;Moritz Bleibtreu;Mathieu Amalric;14000;745;486;412;2529;0;0;176936;824;298;7,6;
Murderball ;2005;Documentary|Sport;English;USA;R;88;1,85;1750211;1523883;Henry Alex Rubin;Mark Zupan;Joe Bishop;Andy Cohn;30;15;0;0;15;0;1;9037;70;110;7,8;
Must Love Dogs ;2005;Comedy|Romance;English;USA;PG-13;98;2,35;30000000;43894863;Gary David Goldberg;Stockard Channing;Victor Webster;Elizabeth Perkins;30;944;940;664;4879;0;2;25883;262;120;5,9;
Mutual Appreciation ;2005;Comedy;English;USA;R;109;1,66;;;Andrew Bujalski;Andrew Bujalski;Kate Dollenmayer;Justin Rice;26;26;6;3;38;91;0;1578;23;52;6,9;
My Big Fat Independent Movie ;2005;Comedy;English;USA;R;80;1,78;3000000;;Philip Zlotorynski;Neil Hopkins;Darren Keefe Reiher;David Douglas;0;231;27;19;313;48;1;1257;24;14;3,3;
Nanny McPhee ;2005;Comedy|Family|Fantasy;English;USA;PG;97;2,35;25000000;47124400;Kirk Jones;Colin Firth;Kelly Macdonald;Imelda Staunton;52;14000;2000;579;17278;0;0;49676;181;128;6,6;
Neal 'N' Nikki ;2005;Comedy|Musical|Romance;English;India;;97;2,35;1500000;100358;Arjun Sablok;Abhishek Bachchan;Uday Chopra;Samantha McLeod;0;374;145;40;602;66;2;1167;24;5;3,3;
Nomad: The Warrior ;2005;Drama|History|War;Kazakh;France;R;112;2,35;25000000;77231;Sergey Bodrov;Jay Hernandez;Kuno Becker;Jason Scott Lee;44;1000;580;533;2115;265;0;3322;32;30;6;
North Country ;2005;Drama;English;USA;R;126;2,35;35000000;18324242;Niki Caro;Jeremy Renner;Charlize Theron;Sissy Spacek;51;10000;9000;874;20563;0;4;32815;214;155;7,3;
Oliver Twist ;2005;Crime|Drama;English;UK;PG-13;130;2,35;50000000;1987287;Roman Polanski;Ian McNeice;Barney Clark;Tony Noble;2000;268;85;25;450;0;0;25474;138;127;6,9;
Pooh's Heffalump Movie ;2005;Animation|Family|Fantasy|Mystery;English;USA;G;68;1,85;20000000;18081626;Frank Nissen;Kath Soucie;Brenda Blethyn;John Fiedler;0;304;286;253;861;264;0;4180;32;45;6,4;
Pride & Prejudice ;2005;Drama|Romance;English;France;PG;135;2,35;28000000;38372662;Joe Wright;Talulah Riley;Brenda Blethyn;Simon Woods;456;422;286;241;1083;17000;2;193455;1058;177;7,8;
Racing Stripes ;2005;Adventure|Comedy|Drama|Family|Sport;English;USA;PG;102;1,85;;49186871;Frederik Du Chau;Bruce Greenwood;Frankie Muniz;M. Emmet Walsh;7;984;934;521;2910;771;0;12570;86;73;5,2;
Red Eye ;2005;Mystery|Thriller;English;USA;PG-13;85;2,35;26000000;57859105;Wes Craven;Robert Pine;Carl Gilliard;Suzie Plakson;0;332;285;178;1090;0;0;94108;673;224;6,5;
Rent ;2005;Drama|Musical|Romance;English;USA;PG-13;135;2,35;40000000;29077547;Chris Columbus;Rosario Dawson;David Fine;Jesse L. Martin;0;3000;1000;715;5917;3000;1;41685;754;146;7;
Rize ;2005;Documentary|Music;English;USA;PG-13;86;1,33;;3278611;David LaChapelle;Kevin Scott Richardson;Christopher Toler;Tommy the Clown;30;262;23;14;321;903;0;2877;46;49;7,1;
Robots ;2005;Adventure|Animation|Comedy|Family|Sci-Fi;English;USA;PG;91;1,85;75000000;128200012;Chris Wedge;Jim Broadbent;Drew Carey;Paula Abdul;77;1000;311;208;1804;0;1;103022;269;163;6,3;
Roll Bounce ;2005;Comedy|Drama|Music|Romance;English;USA;PG-13;112;2,35;;17378977;Malcolm D. Lee;Jurnee Smollett-Bell;Brandon T. Jackson;Shad Moss;92;2000;918;826;7552;997;0;5585;75;55;6;
Romance & Cigarettes ;2005;Comedy|Musical|Romance;English;USA;R;105;2,35;;540085;John Turturro;Kate Winslet;Steve Buscemi;Eddie Izzard;0;14000;12000;776;28004;0;0;10052;69;87;6,3;
Sahara ;2005;Action|Adventure|Comedy|Thriller;English;UK;PG-13;124;2,35;130000000;68642452;Breck Eisner;Matthew McConaughey;Rainn Wilson;Delroy Lindo;42;11000;973;848;13073;0;3;77673;463;163;6;
Saw II ;2005;Horror|Mystery;English;USA;R;95;1,85;4000000;87025093;Darren Lynn Bousman;Emmanuelle Vaugier;Tony Nappo;Shawnee Smith;163;1000;654;651;4134;0;0;188679;864;250;6,6;
Serenity ;2005;Action|Adventure|Sci-Fi|Thriller;English;USA;PG-13;119;2,35;40000000;25335935;Joss Whedon;Adam Baldwin;Sean Maher;Michael Hitchcock;0;2000;505;279;2853;14000;0;242599;1594;276;8;
Shopgirl ;2005;Drama|Romance;English;USA;R;106;2,35;;10281585;Anand Tucker;Frances Conroy;Bridgette Wilson-Sampras;Clyde Kusatsu;14;827;545;161;1871;1000;3;21225;268;124;6,4;
Sin City ;2005;Crime|Thriller;English;USA;R;147;1,85;40000000;74098862;Frank Miller;Rosario Dawson;Powers Boothe;Jason Douglas;436;3000;472;175;3924;13000;1;656640;1732;374;8,1;
Sisters in Law ;2005;Documentary;English;Cameroon;Not Rated;104;;;32631;Florence Ayisi;Vera Ngassa;Beatrice Ntuba;;0;2;0;;2;50;1;291;8;27;7,5;
Sky High ;2005;Adventure|Comedy|Family|Sci-Fi;English;USA;PG;100;2,35;35000000;63939454;Mike Mitchell;Michael Angarano;Kelly Preston;Nicholas Braun;31;947;742;591;2968;0;3;61321;217;127;6,2;
Slow Burn ;2005;Drama|Mystery|Thriller;English;USA;R;93;1,85;15500000;1181197;Wayne Beach;Mekhi Phifer;LL Cool J;Fisher Stevens;7;1000;1000;922;4329;191;0;3299;24;40;5,9;
Son of the Mask ;2005;Comedy|Family|Fantasy;English;USA;PG;94;1,85;84000000;17010646;Lawrence Guterman;Jamie Kennedy;Traylor Howard;Ben Stein;6;490;294;227;1195;881;0;40751;239;78;2,2;
Star Wars: Episode III - Revenge of the Sith ;2005;Action|Adventure|Fantasy|Sci-Fi;English;USA;PG-13;140;2,35;113000000;380262555;George Lucas;Natalie Portman;Christopher Lee;Hayden Christensen;0;20000;16000;4000;44042;10000;4;520104;3286;359;7,6;
Stealth ;2005;Action|Adventure|Sci-Fi|Thriller;English;USA;PG-13;121;2,35;135000000;31704416;Rob Cohen;Sam Shepard;Joe Morton;Richard Roxburgh;357;820;780;653;2705;0;0;45455;388;145;5;
Supercross ;2005;Action|Drama|Romance|Sport;English;USA;PG-13;80;1,85;;3101301;Steve Boyum;Channing Tatum;Mike Vogel;Steve Howey;9;17000;2000;826;21519;353;1;3926;38;41;4;
Syriana ;2005;Drama|Thriller;English;USA;R;128;2,35;50000000;50815288;Stephen Gaghan;Matt Damon;Amr Waked;Kayvan Novak;79;13000;903;414;14747;0;0;109188;625;358;7;
Syriana ;2005;Drama|Thriller;English;USA;R;128;2,35;50000000;50815288;Stephen Gaghan;Matt Damon;Amr Waked;Kayvan Novak;79;13000;903;414;14747;0;0;109191;625;358;7;
Thank You for Smoking ;2005;Comedy|Drama;English;USA;R;92;2,35;6500000;24792061;Jason Reitman;J.K. Simmons;Cameron Bright;Todd Louiso;655;24000;829;88;25092;0;0;191998;323;239;7,6;
The 40-Year-Old Virgin ;2005;Comedy|Romance;English;USA;R;133;1,85;26000000;109243478;Judd Apatow;Steve Carell;Romany Malco;Gerry Bednob;0;7000;966;218;8341;0;1;313797;546;217;7,1;
The Adventures of Sharkboy and Lavagirl 3-D ;2005;Action|Adventure|Family|Fantasy;English;USA;PG;93;1,85;50000000;39177541;Robert Rodriguez;Taylor Lautner;Kristin Davis;Taylor Dooley;0;12000;722;717;14899;0;1;20310;177;66;3,5;
The Amityville Horror ;2005;Drama|Horror|Mystery|Thriller;English;USA;R;90;2,35;19000000;64255243;Andrew Douglas;Jimmy Bennett;Chloë Grace Moretz;Ryan Reynolds;15;87000;17000;16000;120797;0;0;80903;518;220;6;
The Ballad of Jack and Rose ;2005;Drama;English;USA;R;112;1,66;1500000;712294;Rebecca Miller;Beau Bridges;Susanna Thompson;Ryan McDonald;58;552;265;42;859;608;1;9408;68;75;6,7;
The Blood of My Brother ;2005;Documentary|War;English;USA;;90;1,66;120000;;Andrew Berends;;;;0;;;;0;14;1;102;7;12;6,6;
The Brothers Grimm ;2005;Action|Adventure|Comedy|Fantasy|Thriller;English;USA;PG-13;118;1,85;88000000;37899638;Terry Gilliam;Matt Damon;Heath Ledger;Mackenzie Crook;0;13000;13000;871;27114;0;2;98472;492;233;5,9;
The Californians ;2005;Drama;English;USA;PG;87;1,85;;;Jonathan Parker;Keith Carradine;Joanne Whalley;Illeana Douglas;0;584;507;347;1924;29;3;299;11;2;5;
The Call of Cthulhu ;2005;Fantasy|Horror|Mystery|Thriller;English;USA;;47;1,33;50000;;Andrew Leman;Dan Novy;David Mersault;Barry Lynch;2;19;9;5;43;0;0;6261;99;60;7,3;
The Cave ;2005;Adventure|Horror|Thriller;English;USA;PG-13;93;2,35;30000000;14888028;Bruce Hunt;Eddie Cibrian;Cole Hauser;Marcel Iures;2;849;787;258;2178;0;0;28606;262;140;5,1;
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;2005;Adventure|Family|Fantasy;English;USA;PG;150;2,35;180000000;291709845;Andrew Adamson;Jim Broadbent;Kiran Shah;Shane Rangi;80;1000;190;82;1317;0;5;286506;1463;284;6,9;
The Chumscrubber ;2005;Comedy|Drama;English;USA;R;108;2,35;6800000;49526;Arie Posin;Rory Culkin;John Heard;Tim DeKay;3;710;697;436;2119;1000;1;16299;129;74;7;
The Constant Gardener ;2005;Drama|Mystery|Romance|Thriller;English;UK;R;129;1,85;15000000;33565375;Fernando Meirelles;Archie Panjabi;Danny Huston;Donald Sumpter;353;883;430;151;1565;0;0;111351;568;226;7,5;
The Curse of the Were-Rabbit ;2005;Animation|Comedy|Family|Mystery|Sci-Fi;English;UK;G;85;1,85;30000000;56068547;Steve Box;Mark Gatiss;Geraldine McEwan;Peter Sallis;9;567;269;100;1145;0;0;98160;307;209;7,5;
The Dark Hours ;2005;Horror|Thriller;English;Canada;R;80;1,85;500000;;Paul Fox;Dov Tiefenbach;Jeff Seymour;Gordon Currie;3;108;64;39;272;166;0;4788;52;80;6,1;
